,all_losses,percentage improvement,allentropies
0,-925.8409423828125,-2.2681798850039425,37.938079833984375
1,-487.42901611328125,-2.0261288489864806,30.500255584716797
2,-419.647216796875,-4.4653129685538255,24.669635772705078
3,-343.775146484375,-4.859811545421956,30.774818420410156
4,-400.3119201660156,-1.0530881494766147,24.187973022460938
5,-460.8162536621094,-1.1824097471915958,25.978900909423828
6,-426.79144287109375,-1.1489889538865485,23.50124740600586
7,-480.09979248046875,-1.1489889538865485,23.432998657226562
8,-242.704345703125,-2.4543901053241997,21.203765869140625
9,-381.5152282714844,-2.4758311031954734,16.104106903076172
10,-414.1980285644531,-1.6922320649854057,16.325008392333984
11,-278.4100646972656,-1.6922320649854057,11.75179672241211
12,-318.17626953125,-0.9109626176089379,20.642406463623047
13,-374.2568359375,-0.9109626176089379,23.139015197753906
14,-149.49549865722656,-1.1519724263606357,22.077795028686523
15,-271.11181640625,-1.1519724263606357,16.706722259521484
16,-1177.1524658203125,-1.854809211103838,18.227767944335938
17,-382.4740295410156,-1.854809211103838,14.93093490600586
18,-429.3526611328125,-4.86308098601102,15.351638793945312
19,-497.2916564941406,-4.86308098601102,14.76855754852295
20,-481.78094482421875,-1.5017911234272263,15.659156799316406
21,-300.60015869140625,-1.5017911234272263,13.579395294189453
22,-260.4176330566406,-1.5516916911525716,11.811774253845215
23,-176.09461975097656,-1.5516916911525716,16.207372665405273
24,-364.4356689453125,-1.9736576894228315,10.485126495361328
25,-866.45849609375,-1.9736576894228315,10.337101936340332
26,-442.5886535644531,-1.9486552843700575,12.439964294433594
27,-437.41522216796875,-1.9486552843700575,11.94450569152832
28,-305.70343017578125,-1.101229300048928,14.510077476501465
29,-448.6340026855469,-1.101229300048928,12.945630073547363
30,-1304.726318359375,-1.4195098807166682,15.750957489013672
31,-800.122314453125,-1.4195098807166682,13.787708282470703
32,-742.3214721679688,-0.9476607312013844,12.11103343963623
33,-386.4623107910156,-0.9476607312013844,16.830280303955078
34,-628.3380126953125,-3.369907276921168,12.386468887329102
35,-965.998779296875,-3.369907276921168,14.02705192565918
36,-363.1144714355469,-1.7892193594438968,10.606861114501953
37,-311.3494567871094,-1.7892193594438968,8.900106430053711
38,-1575.2996826171875,-4.522417826712122,10.70796012878418
39,-496.913330078125,-4.522417826712122,11.128929138183594
40,-1281.8875732421875,-1.230839123050575,10.275365829467773
41,-917.3709716796875,-1.230839123050575,12.646493911743164
42,-1240.2938232421875,-2.038289989107291,11.928828239440918
43,-587.8670043945312,-1.9577291758088087,12.750798225402832
44,-544.3872680664062,-1.4383424265431488,10.34946346282959
45,-590.906005859375,-1.4462101371626923,9.004634857177734
46,-502.0612487792969,-2.5461016116840756,7.655089378356934
47,-701.3971557617188,-2.5461016116840756,7.245152473449707
48,-1130.172607421875,-2.4638547979894314,8.819507598876953
49,-1758.537353515625,-2.4638547979894314,10.246149063110352
50,-1466.0479736328125,-1.0565815420323141,6.650629997253418
51,-945.6867065429688,-1.0565815420323141,4.826016426086426
52,-1201.855224609375,-1.6958721107120407,10.198565483093262
53,-510.1468200683594,-1.6958721107120407,10.655998229980469
54,-483.8377380371094,-2.509237846755091,11.651061058044434
55,-1036.7310791015625,-2.509237846755091,7.784475803375244
56,-341.25311279296875,-2.4392493517095977,13.447033882141113
57,-922.634765625,-2.4392493517095977,11.01657485961914
58,-1231.6116943359375,-3.850092638310079,8.192458152770996
59,-859.5635375976562,-3.850092638310079,9.373739242553711
60,-2472.003173828125,-3.8290527074816754,10.342755317687988
61,-1271.1839599609375,-3.8290527074816754,9.782037734985352
62,-800.7513427734375,-2.950301301383591,8.655278205871582
63,-453.9136047363281,-2.950301301383591,8.18645191192627
64,-473.57147216796875,-0.9758915941730926,8.363191604614258
65,-1039.7510986328125,-0.9758915941730926,8.104069709777832
66,-1237.8343505859375,-2.039596613147777,9.184432983398438
67,-873.406005859375,-2.039596613147777,7.361057281494141
68,-1319.3392333984375,-3.4237604217455604,14.017723083496094
69,-1312.9266357421875,-3.4237604217455604,15.196243286132812
70,-1522.1165771484375,-2.4626781000692866,10.241308212280273
71,-531.0342407226562,-2.4626781000692866,12.149492263793945
72,-570.3064575195312,-1.6663719819634424,9.693313598632812
73,-877.1915893554688,-1.5620786075220514,10.236133575439453
74,-2108.404541015625,-1.3010564721337428,12.908903121948242
75,-2145.262939453125,-0.8849086610831727,11.127609252929688
76,-1260.0350341796875,-0.7505540466183062,11.304296493530273
77,-1384.5091552734375,-0.5127925399834214,13.121261596679688
78,-1314.8369140625,-1.6314539174805942,9.684826850891113
79,-1672.3935546875,-1.6314539174805942,10.771064758300781
80,-814.72314453125,-5.766231288726012,11.199260711669922
81,-1641.6422119140625,-5.766231288726012,11.439348220825195
82,-875.5657958984375,-1.7728621845550878,11.698795318603516
83,-1541.550048828125,-1.7728621845550878,15.20463752746582
84,-2091.54931640625,-0.8697023510462146,12.346240043640137
85,-2106.120849609375,-0.8542372594451334,14.403497695922852
86,-2266.170654296875,-1.1374382032716994,17.432884216308594
87,-1395.1590576171875,-1.0177476869549524,10.556562423706055
88,-765.9444580078125,-7.317272420003354,10.306163787841797
89,-1836.4591064453125,-7.734315567058362,15.74703311920166
90,-803.719970703125,-2.441169270025054,12.921669960021973
91,-818.6344604492188,-2.441169270025054,13.946819305419922
92,-1232.7001953125,-0.9208594838601475,15.540983200073242
93,-2288.955322265625,-0.9208594838601475,14.31275463104248
94,-1329.177978515625,-3.218227871805604,13.646349906921387
95,-1191.8079833984375,-3.218227871805604,12.4735107421875
96,-653.5375366210938,-0.512984246172519,13.817241668701172
97,-1616.5709228515625,-0.512984246172519,12.626277923583984
98,-227.09384155273438,-1.6012490836379805,14.386526107788086
99,-863.3273315429688,-1.5168049405752806,12.736351013183594
100,-2164.460205078125,-1.4237354819193546,10.440710067749023
101,-1817.1658935546875,-1.4237354819193546,14.378146171569824
102,-810.2034912109375,-3.132001715289846,13.771425247192383
103,-542.8214721679688,-3.132001715289846,13.055540084838867
104,-3074.40625,-0.4315657515952372,16.482696533203125
105,-1835.483154296875,-0.4315657515952372,17.896827697753906
106,-2525.282958984375,-0.7328261328643992,18.56156349182129
107,-2332.731201171875,-0.7328261328643992,18.985097885131836
108,-879.4051513671875,-2.0430042001728466,15.389338493347168
109,-1883.906005859375,-1.9206417337414838,15.96065902709961
110,-1498.8182373046875,-0.4935920978829027,12.83785343170166
111,-1036.3128662109375,-0.41828486284798944,10.94654369354248
112,-616.1705322265625,-0.6546182595689003,23.38401222229004
113,-1117.6680908203125,-0.5533053131600107,16.076255798339844
114,-763.205322265625,-0.7856323455979666,13.908306121826172
115,-1593.97509765625,-0.7856323455979666,14.37799072265625
116,-3979.4072265625,-0.3935580793411552,15.111383438110352
117,-1048.6650390625,-0.3935580793411552,15.469820976257324
118,-1300.7408447265625,-0.24408083376708253,15.778951644897461
119,-1397.5445556640625,-0.24408083376708253,17.415287017822266
120,-733.406005859375,-0.6357635787686328,10.9544038772583
121,-1395.2308349609375,-0.6357635787686328,12.345779418945312
122,-2191.57373046875,0.23175204449240713,10.89212703704834
123,-1975.3424072265625,0.23175204449240713,14.835975646972656
124,-744.4175415039062,-0.16918527411125445,18.120712280273438
125,-816.6522216796875,-0.16918527411125445,17.817039489746094
126,-1829.7431640625,-0.2380861958789849,13.578750610351562
127,-3155.61279296875,-0.2380861958789849,10.522337913513184
128,-1094.6768798828125,-1.2436133090125039,5.91227912902832
129,-2480.229736328125,-1.2436133090125039,5.219081401824951
130,-1248.388916015625,-0.045576254557638425,10.67608642578125
131,-691.8142700195312,-0.045576254557638425,10.737472534179688
132,-2055.09375,-0.537661062798489,11.2994384765625
133,-1284.7762451171875,-0.5975955586533014,13.103885650634766
134,-1734.20458984375,0.0023389823048361597,11.655688285827637
135,-665.7203979492188,0.0023389823048361597,9.78073501586914
136,-2804.97021484375,0.17700709685586746,8.42147445678711
137,-2085.184814453125,0.09985164075892453,7.245779037475586
138,-2539.852783203125,-0.751248507116165,8.288820266723633
139,-183.2598114013672,-0.751248507116165,8.735581398010254
140,-849.1513061523438,-0.6170274809456829,5.8694353103637695
141,-560.977294921875,-0.6170274809456829,9.532943725585938
142,-1651.0633544921875,0.07281988841291431,8.697722434997559
143,-1706.9898681640625,0.17796339523982302,11.280450820922852
